obs,tic,gvkey,conm_x,CrossVerified_ExecType,DirectorName,Ethnicity,Race(black),BE_fromBermissData,Actual_Bermiss_discrepancy,Minority,Gender,Female,Num_Black_TMT,Active2020,CEO_Appointment_date_within_2020,DirectorName_source
188,EW,133366,EDWARDS LIFESCIENCES CORP,CEO,Mike Mussallem,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
189,EW,133366,EDWARDS LIFESCIENCES CORP,CEO,Nick DeMare,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
190,EA,16721,ELECTRONIC ARTS INC,CEO,Andrew Wilson,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
191,ELV,145046,ELEVANCE HEALTH INC,CEO,Gail Boudreaux,Caucasian/White,0,,0,0,F,1,0,Yes,,BoardEx
192,EMR,4321,EMERSON ELECTRIC CO,CEO,David Farr,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
193,ENPH,187450,ENPHASE ENERGY INC,CEO,Badri Kothandaraman,Asian/Indian,0,,0,1,M,0,0,Yes,,BoardEx
194,ETR,7366,ENTERGY CORP,TMT,Fiore Aliperti,Caucasian/White,0,1,1,0,M,0,2,Yes,,BoardEx
195,ETR,7366,ENTERGY CORP,CEO,Gordon Lam,Asian,0,1,1,1,M,0,2,Yes,,BoardEx
196,ETR,7366,ENTERGY CORP,CEO,Leo Denault,Caucasian/White,0,1,1,0,M,0,2,Yes,,BoardEx
197,ETR,7366,ENTERGY CORP,TMT,Marcus Brown,African American/Black,1,1,0,1,M,0,2,Yes,,Bermiss
198,ETR,7366,ENTERGY CORP,TMT,Roderick West,African American/Black,1,1,0,1,M,0,2,Yes,,Bermiss
199,EOG,16478,EOG RESOURCES INC,CEO,Bill Thomas,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
200,EOG,16478,EOG RESOURCES INC,CEO,Gil Holzman,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
201,EPAM,187697,EPAM SYSTEMS INC,CEO,Arkadiy Dobkin,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
