obs,tic,conm_x,gvkey,CrossVerified_ExecType,DirectorName,Ethnicity,Race(black),BE_fromBermissData,ceo_black_discrepancy,Minority,Gender,Female,Num_Black_TMT,TMT_Active_in_2020 (Manual Check),BlackCEO_Appointment_date (within the timeframe),DirectorName_source
73,AVGO,BROADCOM INC,180711,CEO,Hock Tan,Asian,0,,0,1,M,0,0,Yes,,3BoardEx
237,BR,BROADRIDGE FINANCIAL SOLUTNS,176928,TMT,Rich Daly,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
238,BF.B,BROWN FORMAN CORP,2435,CEO,Lawson Whiting,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
239,BG,BUNGE LTD,144435,CEO,Greg Heckman,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
240,CHRW,C H ROBINSON WORLDWIDE INC,65609,CEO,Bob Biesterfeld Jr,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
241,CHRW,C H ROBINSON WORLDWIDE INC,65609,TMT,John Wiehoff,Caucasian/White,0,,0,0,M,0,0,No,,3BoardEx
74,CDNS,CADENCE DESIGN SYSTEMS INC,13421,CEO,Lip-Bu Tan,Asian,0,,0,1,M,0,0,Yes,,3BoardEx
242,CPB,CAMPBELL SOUP CO,2663,CEO,Mark Clouse,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
220,BK,CANADIAN BANC CORP,,CEO,Stephen Finch,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
243,COF,CAPITAL ONE FINANCIAL CORP,30990,CEO,Rich Fairbank,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
244,CAH,CARDINAL HEALTH INC,2751,CEO,Mike Kaufmann,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
245,KMX,CARMAX INC,64410,CEO,Bill Nash,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
7,CCL,CARNIVAL CORPORATION & PLC,13498,CEO,Arnold Donald,African American/Black,1,1,0,1,M,0,1,Yes,,2Bermiss
112,CCL,CARNIVAL CORPORATION & PLC,13498,TMT,Micky Arison,Caucasian/White,0,1,1,0,M,0,1,Yes,,3BoardEx
246,CTLT,CATALENT INC,20228,CEO,John Chiminski,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
247,CAT,CATERPILLAR INC,2817,CEO,Jim Umpleby III,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
248,CBOE,CBOE GLOBAL MARKETS INC,184500,CEO,Ed Tilly,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
249,CBRE,CBRE GROUP INC,260774,CEO,Bob Sulentic,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
250,CDW,CDW CORP,28320,CEO,Chris Leahy,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
251,CNC,CENTENE CORP,145552,CEO,Michael Neidorff,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
67,CNP,CENTERPOINT ENERGY INC,5742,TMT,Milton Carroll,African American/Black,1,,1,1,M,0,0,Yes,,3BoardEx
252,CERN,CERNER CORP,12850,CEO,D Shafer,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
253,CF,CANACCORD GENUITY GROUP INC (Canaccord Financial Inc prior to 10/2013),????,CEO,Dan Daviau,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
255,CF,CF INDUSTRIES HOLDINGS INC,163946,CEO,Tony Will,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
254,CF,CF INDUSTRIES HOLDINGS INC,163946,TMT,David Kassie,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
256,CHTR,CHARTER COMMUNICATIONS INC,126136,CEO,Tom Rutledge,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
257,CVX,CHEVRON CORP,2991,CEO,Mike Wirth,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
258,CMG,CHIPOTLE MEXICAN GRILL INC,165914,CEO,Ryan Schneider,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
259,CHD,CHURCH & DWIGHT INC,3026,CEO,Matthew Farrell,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
113,CI,CIGNA CORP,2547,CEO,David Cordani,Caucasian/White,0,1,1,0,M,0,2,Yes,,3BoardEx
8,CI,CIGNA CORP,2547,TMT,Nicole Jones,African American/Black,1,1,0,1,F,1,2,Yes,,2Bermiss
130,CI,CIGNA CORP,2547,TMT,Michael Triplett,Caucasian/White,0,1,1,0,M,0,2,Yes,,2Bermiss
260,CINF,CINCINNATI FINANCIAL CORP,14824,CEO,Steve Johnston,Caucasian/White,0,,0,0,M,0,0,No,,3BoardEx
117,CTAS,CINTAS CORP,3062,CEO,Scott Farmer,Caucasian/White,0,1,1,0,M,0,1,Yes,,3BoardEx
9,CTAS,CINTAS CORP,3062,TMT,Phillip Holloman,African American/Black,1,1,0,1,M,0,1,No,,2Bermiss
261,CSCO,CISCO SYSTEMS INC,20779,CEO,Chuck Robbins,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
119,C,CITIGROUP INC,3243,CEO,Mike Corbat,Caucasian/White,0,1,1,0,M,0,1,Yes,,3BoardEx
10,C,CITIGROUP INC,3243,TMT,Mark Mason,African American/Black,1,1,0,1,M,0,1,Yes,,2Bermiss
262,CFG,CITIZENS FINANCIAL GROUP INC,21825,CEO,Bruce van Saun,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
263,CTXS,CITRIX SYSTEMS INC,61676,CEO,David Henshall,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
264,CLX,CLOROX CO/DE,3121,CEO,Benno Dorer,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
265,CME,CME GROUP INC,149070,CEO,The Hon. Terry Duffy,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
120,CMS,CMS ENERGY CORP,3439,CEO,Patti Poppe,Caucasian/White,0,1,1,0,F,1,1,Yes,Retired in 12/1/2020,3BoardEx
11,CMS,CMS ENERGY CORP,3439,TMT,Rejji Hayes,African American/Black,1,1,0,1,M,0,1,Yes,,2Bermiss
122,KO,COCA-COLA CO,3144,CEO,James Quincey,Caucasian/White,0,1,1,0,M,0,3,No,,3BoardEx
12,KO,COCA-COLA CO,3144,TMT,Alexander Cummings,African American/Black,1,1,0,1,M,0,3,No,,2Bermiss
14,KO,COCA-COLA CO,3144,TMT,Kathy Waller,African American/Black,1,1,0,1,F,1,3,No,,2Bermiss
15,KO,COCA-COLA CO,3144,TMT,Vicki Palmer,African American/Black,1,1,0,1,F,1,3,No,,2Bermiss
266,CTSH,COGNIZANT TECH SOLUTIONS,111864,CEO,Brian Humphries,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
267,CL,COLGATE-PALMOLIVE CO,3170,CEO,Charles Bachtell,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
124,CMCSA,COMCAST CORP,3226,CEO,Brian Roberts,Caucasian/White,0,1,1,0,M,0,1,Yes,,3BoardEx
16,CMCSA,COMCAST CORP,3226,TMT,Kimberley Harris,African American/Black,1,1,0,1,F,1,1,Yes,,2Bermiss
268,CAG,CONAGRA BRANDS INC,3362,CEO,Sean Connolly,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
269,COP,CONOCOPHILLIPS,8549,CEO,Ryan Lance,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
270,ED,CONSOLIDATED EDISON INC,3413,CEO,John McAvoy,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
271,STZ,CONSTELLATION BRANDS,2710,CEO,Bill Newlands Jr,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
272,STZ,CONSTELLATION BRANDS,2710,TMT,Doctor Richard Sands,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
273,STZ,CONSTELLATION BRANDS,2710,TMT,Rob Sands,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
274,COO,COOPER COS INC (THE),3504,CEO,Al White III,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
275,CPRT,COPART INC,29901,CEO,Jay Adair,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
276,CPRT,COPART INC,29901,TMT,Willis Johnson,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
17,GLW,CORNING INC,3532,TMT,Lawrence McRae,African American/Black,1,1,0,1,M,0,1,Yes,,2Bermiss
277,CTVA,CORTEVA INC,35168,CEO,Jim Collins Jr,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
278,CSGP,COSTAR GROUP INC,112111,CEO,Andy Florance,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
279,COST,COSTCO WHOLESALE CORP,29028,CEO,W Jelinek,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
280,CTRA,COTERRA ENERGY INC,20548,CEO,Dan Dinges,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
68,CCI,CROWN CASTLE INC,113490,CEO,Jay Brown,African American/Black,1,,1,1,M,0,0,Yes,,3BoardEx
281,CSXh,CLEAN SEED CAPITAL GROUP LTD,67890,CEO,Graeme Lempriere,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
282,CSX,CSX CORP,23456,CEO,Jim Foote,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
283,CMI,C-COM SATELLITE SYSTEMS INC,,CEO,Doctor Leslie Klein,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
284,CMI,CUMMINS INC,3650,CEO,Tom Linebarger,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
285,CVS,CVS HEALTH CORP,7241,CEO,Larry Merlo,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
286,DHI,D R HORTON INC,25340,TMT,Donald Horton,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
288,DHR,DANAHER CORP,3735,CEO,Tom Joyce Jr,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
287,DHR,DANAHER CORP,3735,TMT,Steven Rales,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
126,DRI,DARDEN RESTAURANTS INC,31846,CEO,Gene Lee Jr,Caucasian/White,0,1,1,0,M,0,1,Yes,,3BoardEx
601,DVA,DAVITA INC,61483,CEO,Javier Rodriguez,Hispanic/Latino,0,,0,1,M,0,0,Yes,,3BoardEx
289,DVA,DAVITA INC,61483,TMT,Kent Thiry,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
290,DE,DECISIVE DIVIDEND CORP,3835,CEO,James Paterson,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
291,DCO,DEERE & CO,6255,CEO,John May,Caucasian/White,0,,0,0,M,0,0,No,,3BoardEx
292,DAL,DELTA AIR LINES INC,3851,CEO,Ed Bastian,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
293,XRAY,DENTSPLY SIRONA INC,13700,CEO,Don Casey Jr,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
294,DVN,DEVON ENERGY CORP,14934,CEO,Dave Hager,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
295,DXCM,DEXCOM INC,162887,CEO,Kevin Sayer,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
296,FANG,DIAMONDBACK ENERGY INC,170750,CEO,Travis Stice,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
297,DLR,DIGITAL REALTY TRUST INC,160991,CEO,Bill Stein,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
298,DFS,DISCOVER FINANCIAL SVCS,177376,CEO,Roger Hochschild,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
299,DISH,DISH NETWORK CORP,60900,TMT,Charlie Ergen,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
19,DIS,DISNEY (WALT) CO,3980,TMT,Dennis Hightower,African American/Black,1,1,0,1,M,0,2,No,,2Bermiss
21,DIS,DISNEY (WALT) CO,3980,TMT,Richard Nanula,African American/Black,1,1,0,1,M,0,2,No,,2Bermiss
300,DG,DOLLAR GENERAL CORP,4016,CEO,Todd Vasos,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
302,DLTR,DOLLAR TREE INC,31587,CEO,Gary Philbin,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
301,DLTR,DOLLAR TREE INC,31587,TMT,Bob Sasser,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
303,D,DOMINION ENERGY INC,4029,CEO,Tom Farrell II,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
127,DPZ,DOMINO'S PIZZA INC,160211,CEO,Ritch Allison Jr,Caucasian/White,0,1,1,0,M,0,1,Yes,,3BoardEx
22,DPZ,DOMINO'S PIZZA INC,160211,TMT,Troy Ellis,African American/Black,1,1,0,1,M,0,1,Yes,,2Bermiss
