obs,tic,conm_x,gvkey,CrossVerified_ExecType,new_director_name,Ethnicity,Race(black),Minority,Gender,Female,Num_Black_TMT,TMT_Active_in_2020 (Manual Check),BlackCEO_Appointment_date (within the timeframe),new_director_source
150,KEY,KEYCORP,9783,TMT,Jeffrey Weaver,Caucasian/White,0,0,M,0,2,Yes,,2Bermiss
151,MDLZ,MONDELEZ INTERNATIONAL INC,142953,CEO,Doctor Dirk van de Put,Caucasian/White,0,0,M,0,1,Yes,,3BoardEx
152,NLSN,NIELSEN HOLDINGS PLC,100873,CEO,David Kenny,Caucasian/White,0,0,M,0,1,Yes,,3BoardEx
153,LOW,LOWE'S COS INC,6829,CEO,Marvin Ellison,Caucasian/White,0,0,M,0,1,Yes,,2Bermiss
154,NI,NISOURCE INC,7974,CEO,Joe Hamrock,Caucasian/White,0,0,M,0,2,Yes,,3BoardEx
155,MTB,M & T BANK CORP,4699,CEO,Rene Jones,Caucasian/White,0,0,M,0,1,Yes,,2Bermiss
156,NTRS,NORTHERN TRUST CORP,7982,CEO,Mike O'Grady,Caucasian/White,0,0,M,0,1,Yes,,3BoardEx
157,MRK,MERCK & CO,7257,CEO,Kenneth Frazier,Caucasian/White,0,0,M,0,4,Yes,,2Bermiss
158,OKE,ONEOK INC,8151,CEO,Terry Spencer,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
159,MDLZ,MONDELEZ INTERNATIONAL INC,142953,TMT,Mary Beth West,Caucasian/White,0,0,F,1,1,No,,2Bermiss
160,ORCL,ORACLE CORP,12142,TMT,Jeff Henley,Caucasian/White,0,0,M,0,1,Yes,,3BoardEx
161,ORCL,ORACLE CORP,12142,TMT,Larry Ellison,Caucasian/White,0,0,M,0,1,Yes,,3BoardEx
162,ORCL,ORACLE CORP,12142,CEO,Safra Catz,Caucasian/White,0,0,F,1,1,Yes,,3BoardEx
163,PARA,PARAMOUNT GLOBAL,13714,CEO,Bob Bakish,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
164,TROW,PRICE (T. ROWE) GROUP,12138,CEO,Bill Stromberg,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
165,RL,RALPH LAUREN CORP,64891,TMT,David Lauren,Caucasian/White,0,0,M,0,1,Yes,,3BoardEx
166,RL,RALPH LAUREN CORP,64891,CEO,Patrice Louvet,Caucasian/White,0,0,M,0,1,Yes,,3BoardEx
167,RL,RALPH LAUREN CORP,64891,TMT,Ralph Lauren,Caucasian/White,0,0,M,0,1,Yes,,3BoardEx
168,NLOK,NORTONLIFELOCK INC,15855,TMT,Scott Taylor,Caucasian/White,0,0,M,0,2,Yes,,2Bermiss
169,ORCL,ORACLE CORP,12142,TMT,Charles Phillips,Caucasian/White,0,0,M,0,1,No,,2Bermiss
170,SO,SOUTHERN CO,9850,CEO,Tom Fanning,Caucasian/White,0,0,M,0,2,Yes,,3BoardEx
171,TGT,TARGET CORP,3813,CEO,Bill Andres,Caucasian/White,0,0,M,0,1,Yes,,3BoardEx
172,TGT,TARGET CORP,3813,CEO,Brian Cornell,Caucasian/White,0,0,M,0,1,Yes,,3BoardEx
173,RL,RALPH LAUREN CORP,64891,TMT,Tracey Travis,Caucasian/White,0,0,F,1,1,Yes,,2Bermiss
174,UNP,UNION PACIFIC CORP,10867,CEO,Lance Fritz,Caucasian/White,0,0,M,0,3,Yes,,3BoardEx
175,UPS,UNITED PARCEL SERVICE INC,10920,CEO,David Abney,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
176,URI,UNITED RENTALS INC,66065,CEO,Matt Flannery,Caucasian/White,0,0,M,0,1,Yes,,3BoardEx
177,UNH,UNITEDHEALTH GROUP INC,10903,CEO,Dave Wichmann,Caucasian/White,0,0,M,0,1,Yes,,3BoardEx
178,WBA,WALGREENS BOOTS ALLIANCE INC,11264,TMT,Jim Skinner,Caucasian/White,0,0,M,0,2,Yes,,3BoardEx
179,URI,UNITED RENTALS INC,66065,TMT,William Plummer,Caucasian/White,0,0,M,0,1,No,,2Bermiss
180,WBA,WALGREENS BOOTS ALLIANCE INC,11264,CEO,Stefano Pessina,Caucasian/White,0,0,M,0,2,Yes,,3BoardEx
181,WMT,WALMART INC,11259,CEO,Doug McMillon,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
182,WFC,WELLS FARGO & CO,8007,CEO,Bruno Wall,Caucasian/White,0,0,M,0,2,Yes,,3BoardEx
183,WFC,WELLS FARGO & CO,8007,CEO,Charlie Scharf,Caucasian/White,0,0,M,0,2,Yes,,3BoardEx
184,WU,WESTERN UNION CO,175263,CEO,Hikmet Ersek,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
185,WHR,WHIRLPOOL CORP,11465,CEO,Doctor Marc Bitzer,Caucasian/White,0,0,M,0,1,Yes,,3BoardEx
186,XRX,XEROX HOLDINGS CORP,11636,CEO,John Visentin,Caucasian/White,0,0,M,0,5,Yes,,3BoardEx
187,MMM,3M CO,7435,CEO,Mike Roman,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
188,ABMD,ABIOMED INC,13619,CEO,Mike Minogue,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
189,ATVI,ACTIVISION BLIZZARD INC,180405,CEO,Bobby Kotick,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
190,AAP,ADVANCE AUTO PARTS INC,145977,CEO,Tom Greco,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
191,A,AGILENT TECHNOLOGIES INC,126554,CEO,Mike McMullen,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
192,AKAM,AKAMAI TECHNOLOGIES INC,125595,CEO,Doctor Tom Leighton,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
193,ALK,ALASKA AIR GROUP INC,1230,CEO,Brad Tilden,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
194,ARE,ALEXANDRIA R E EQUITIES INC,64821,CEO,Jean-Louis Servranckx,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
195,ARE,ALEXANDRIA R E EQUITIES INC,64821,TMT,Joel Marcus,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
196,ALXN,ALEXION PHARMACEUTICALS INC,62263,CEO,Doctor Ludwig Hantson,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
197,ALGN,ALIGN TECHNOLOGY INC,141384,CEO,Joe Hogan,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
198,LNT,ALLIANT ENERGY CORP,11554,CEO,John Larsen,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
199,ALL,ALLSTATE CORP,28349,CEO,Tom Wilson II,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
200,AMZN,AMAZON.COM INC,64768,CEO,Jeff Bezos,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
201,AEE,AMEREN CORP,10860,CEO,Warner Baxter,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
202,AAL,AMERICAN AIRLINES GROUP INC,1045,CEO,Doug Parker Jr,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
203,AEP,AMERICAN ELECTRIC POWER CO,1440,CEO,Nick Akins,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
204,AMP,AMERIPRISE FINANCIAL INC,164708,CEO,Jim Cracchiolo,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
205,AME,AMETEK INC,1598,CEO,David Zapico,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
206,AME,AMETEK INC,1598,TMT,Mike McInnis,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
207,AMGN,AMGEN INC,1602,CEO,Bob Bradway,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
208,APH,AMPHENOL CORP,14282,CEO,Richard Norwitt,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
209,ADI,ANALOG DEVICES INC,1632,CEO,Vincent Roche,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
210,APA,APA CORP,1678,CEO,John Christmann IV,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
211,AIV,APARTMENT INVST & MGMT CO,30490,CEO,The Hon. Terry Considine,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
212,AAPL,APPLE INC,1690,CEO,Tim Cook,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
213,AMAT,APPLIED MATERIALS INC,1704,CEO,Gary Dickerson,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
214,ANET,ARISTA NETWORKS INC,20748,TMT,Doctor Andy von Bechtolsheim,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
