num,tic,conm_x,gvkey,ceo_minority,ethnicity (from boardex),ceo_name,ceo_race(black),First,Last,Company,AnnDate,BE
182,BDX,BECTON DICKINSON & CO,2111,0,CAUCASIAN/WHITE,,,,,,,
183,CTSH,COGNIZANT TECH SOLUTIONS,111864,0,CAUCASIAN/WHITE,,,,,,,
184,BALL,BALL CORP,1988,0,CAUCASIAN/WHITE,,,,,,,
185,TAP,MOLSON COORS BEVERAGE CO,3505,0,CAUCASIAN/WHITE,,,,,,,
186,DOV,DOVER CORP,4058,0,CAUCASIAN/WHITE,,,,,,,
187,AME,AMETEK INC,1598,0,CAUCASIAN/WHITE,,,,,,,
188,LNC,LINCOLN NATIONAL CORP,6742,0,CAUCASIAN/WHITE,,,,,,,
189,WST,WEST PHARMACEUTICAL SVSC INC,11376,0,CAUCASIAN/WHITE,,,,,,,
190,APH,AMPHENOL CORP,14282,0,CAUCASIAN/WHITE,,,,,,,
191,VLO,VALERO ENERGY CORP,15247,0,CAUCASIAN/WHITE,,,,,,,
192,SYK,STRYKER CORP,10115,1,INDIAN/SOUTH ASIAN,,,,,,,
193,FTV,FORTIVE CORP,26590,0,CAUCASIAN/WHITE,,,,,,,
194,PAYX,PAYCHEX INC,8402,0,CAUCASIAN/WHITE,,,,,,,
195,BF.B,BROWN FORMAN CORP,2435,0,CAUCASIAN/WHITE,,,,,,,
196,HUM,HUMANA INC,27914,0,CAUCASIAN/WHITE,,,,,,,
197,YUM,YUM BRANDS INC,65417,0,CAUCASIAN/WHITE,,,,,,,
198,AMGN,AMGEN INC,1602,0,CAUCASIAN/WHITE,,,,,,,
199,TDY,TELEDYNE TECHNOLOGIES INC,126721,0,CAUCASIAN/WHITE,,,,,,,
200,HWM,HOWMET AEROSPACE INC,28192,0,CAUCASIAN/WHITE,,,,,,,
201,KHC,KRAFT HEINZ CO,5568,0,CAUCASIAN/WHITE,,,,,,,
202,PNC,PNC FINANCIAL SVCS GROUP INC,8245,0,CAUCASIAN/WHITE,,,,,,,
203,PPG,PPG INDUSTRIES INC,8247,0,CAUCASIAN/WHITE,,,,,,,
204,WAB,WABTEC CORP,60979,1,HISPANIC/LATIN AMERICAN,,,,,,,
205,CTLT,CATALENT INC,20228,0,CAUCASIAN/WHITE,,,,,,,
206,DXCM,DEXCOM INC,162887,0,CAUCASIAN/WHITE,,,,,,,
207,ILMN,ILLUMINA INC,138205,1,INDIAN/SOUTH ASIAN,,,,,,,
208,O,REALTY INCOME CORP,30822,1,INDIAN/SOUTH ASIAN,,,,,,,
209,QCOM,QUALCOMM INC,24800,0,CAUCASIAN/WHITE,,,,,,,
210,RMD,RESMED INC,31887,1,OTHER,,,,,,,
211,SRE,SEMPRA ENERGY,8272,0,CAUCASIAN/WHITE,,,Donald,Felsinger,Sempra Energy,12/7/05,0
212,JNJ,JOHNSON & JOHNSON,6266,0,CAUCASIAN/WHITE,,,,,,,
213,CFG,CITIZENS FINANCIAL GROUP INC,21825,0,CAUCASIAN/WHITE,,,,,,,
214,CVS,CVS HEALTH CORP,7241,0,CAUCASIAN/WHITE,,,,,,,
215,HAS,HASBRO INC,5518,0,CAUCASIAN/WHITE,,,,,,,
216,TXT,TEXTRON INC,10519,0,CAUCASIAN/WHITE,,,,,,,
217,DISH,DISH NETWORK CORP,60900,0,CAUCASIAN/WHITE,,,,,,,
218,HRL,HORMEL FOODS CORP,5709,0,CAUCASIAN/WHITE,,,,,,,
219,DRI,DARDEN RESTAURANTS INC,31846,0,CAUCASIAN/WHITE,,,Clarence,Otis,Darden Restaurants,8/12/04,1
220,ABBV,ABBVIE INC,16101,1,HISPANIC/LATIN AMERICAN,,,,,,,
221,ABT,ABBOTT LABORATORIES,1078,1,HISPANIC/LATIN AMERICAN,,,,,,,
222,BAX,BAXTER INTERNATIONAL INC,2086,1,HISPANIC/LATIN AMERICAN,,,,,,,
223,CAT,CATERPILLAR INC,2817,0,CAUCASIAN/WHITE,,,,,,,
224,CDW,CDW CORP,28320,0,CAUCASIAN/WHITE,,,,,,,
225,CF,CF INDUSTRIES HOLDINGS INC,163946,0,CAUCASIAN/WHITE,,,,,,,
226,DFS,DISCOVER FINANCIAL SVCS,177376,0,CAUCASIAN/WHITE,,,,,,,
227,FBHS,FORTUNE BRANDS HOME & SECUR,188255,0,CAUCASIAN/WHITE,,,,,,,
228,GWW,GRAINGER (W W) INC,5256,0,CAUCASIAN/WHITE,,,,,,,
229,PKG,PACKAGING CORP OF AMERICA,128978,0,CAUCASIAN/WHITE,,,,,,,
230,WBA,WALGREENS BOOTS ALLIANCE INC,11264,0,CAUCASIAN/WHITE,,,Rosalind,Brewer,Walgreens,1/26/21,1
230,WBA,WALGREENS BOOTS ALLIANCE INC,11264,0,CAUCASIAN/WHITE,,,Kathleen,Wilson-Thompson,Walgreens Boots Alliance,11/23/09,1
231,ZBRA,ZEBRA TECHNOLOGIES CP -CL A,24405,0,CAUCASIAN/WHITE,,,,,,,
232,ABC,AMERISOURCEBERGEN CORP,31673,0,CAUCASIAN/WHITE,,,,,,,
233,UHS,UNIVERSAL HEALTH SVCS INC,11032,0,CAUCASIAN/WHITE,,,,,,,
234,ABMD,ABIOMED INC,13619,0,CAUCASIAN/WHITE,,,,,,,
235,BKNG,BOOKING HOLDINGS INC,119314,0,CAUCASIAN/WHITE,,,,,,,
236,CHTR,CHARTER COMMUNICATIONS INC,126136,0,CAUCASIAN/WHITE,,,,,,,
237,IT,GARTNER INC,12441,0,CAUCASIAN/WHITE,,,,,,,
238,PBCT,PEOPLE'S UNITED FINL INC,16245,0,CAUCASIAN/WHITE,,,,,,,
239,SYF,SYNCHRONY FINANCIAL,20686,0,CAUCASIAN/WHITE,,,,,,,
240,URI,UNITED RENTALS INC,66065,0,CAUCASIAN/WHITE,,,William,Plummer,United Rentals,11/24/08,1
241,WRB,BERKLEY (W R) CORP,14822,0,CAUCASIAN/WHITE,,,,,,,
242,XRX,XEROX HOLDINGS CORP,11636,0,CAUCASIAN/WHITE,,,Ursula,Burns,Xerox,5/21/09,1
242,XRX,XEROX HOLDINGS CORP,11636,0,CAUCASIAN/WHITE,,,Ursula,Burns,Xerox,4/3/07,1
242,XRX,XEROX HOLDINGS CORP,11636,0,CAUCASIAN/WHITE,,,Darrell,Ford,Xerox,11/2/15,1
242,XRX,XEROX HOLDINGS CORP,11636,0,CAUCASIAN/WHITE,,,Barry,Rand,Xerox,2/4/92,1
242,XRX,XEROX HOLDINGS CORP,11636,0,CAUCASIAN/WHITE,,,Kevin,Warren,Xerox,12/7/16,1
243,CI,CIGNA CORP,2547,0,CAUCASIAN/WHITE,,,Nicole,Jones,Cigna,5/25/10,1
243,CI,CIGNA CORP,2547,0,CAUCASIAN/WHITE,,,Michael,Triplett,Cigna,2/23/17,1
244,HIG,HARTFORD FINANCIAL SERVICES,61739,0,CAUCASIAN/WHITE,,,,,,,
245,OTIS,OTIS WORLDWIDE CORP,36190,0,CAUCASIAN/WHITE,,,,,,,
246,SWK,STANLEY BLACK & DECKER INC,10016,0,CAUCASIAN/WHITE,,,,,,,
247,CTVA,CORTEVA INC,35168,0,CAUCASIAN/WHITE,,,,,,,
248,DRE,DUKE REALTY CORP,13510,0,CAUCASIAN/WHITE,,,,,,,
