obs,tic,gvkey,conm_x,CrossVerified_ExecType,DirectorName,Ethnicity,Race(black),BE_fromBermissData,Actual_Bermiss_discrepancy,Minority,Gender,Female,Num_Black_TMT,Active2020,CEO_Appointment_date_within_2020,DirectorName_source
91,CINF,14824,CINCINNATI FINANCIAL CORP,CEO,Steve Johnston,Caucasian/White,0,,0,0,M,0,0,No,,BoardEx
92,CTAS,3062,CINTAS CORP,CEO,Scott Farmer,Caucasian/White,0,1,1,0,M,0,1,Yes,,BoardEx
93,CSCO,20779,CISCO SYSTEMS INC,CEO,Chuck Robbins,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
94,C,3243,CITIGROUP INC,CEO,Mike Corbat,Caucasian/White,0,1,1,0,M,0,1,Yes,,BoardEx
95,CFG,21825,CITIZENS FINANCIAL GROUP INC,CEO,Bruce van Saun,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
96,CTXS,61676,CITRIX SYSTEMS INC,CEO,David Henshall,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
97,CSXh,67890,CLEAN SEED CAPITAL GROUP LTD,CEO,Graeme Lempriere,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
98,CLX,3121,CLOROX CO/DE,CEO,Benno Dorer,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
99,CME,149070,CME GROUP INC,CEO,The Hon. Terry Duffy,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
100,CMS,3439,CMS ENERGY CORP,CEO,Patti Poppe,Caucasian/White,0,1,1,0,F,1,1,Yes,Retired in 12/1/2020,BoardEx
101,KO,3144,COCA-COLA CO,CEO,James Quincey,Caucasian/White,0,1,1,0,M,0,3,No,,BoardEx
102,CTSH,111864,COGNIZANT TECH SOLUTIONS,CEO,Brian Humphries,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
103,CL,3170,COLGATE-PALMOLIVE CO,CEO,Charles Bachtell,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
104,CMCSA,3226,COMCAST CORP,CEO,Brian Roberts,Caucasian/White,0,1,1,0,M,0,1,Yes,,BoardEx
105,CAG,3362,CONAGRA BRANDS INC,CEO,Sean Connolly,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
