obs,coid,tic,conm_x,gvkey,ceo_name,ceo_race(black)_manual check,ceo_ethnicity_manual check,,ceo_minority,ceo_gender,ceo_female,ceo_active_2020_may26_dec31,firm_multiple_ceos_may26_dec31,firm_coceo_2020,firm_ceo_change_2020_may26_dec31,firm_ceo_change_date_2020,ceo_in_or_out_2020,DateStartRole_boardex,DateEndRole_boardex,Actual_Bermiss_discrepancy,RoleName_boardex,Interim_boardex,ethnicity_boardex (for comparison with ceo_ethnicity column)
60,60,SO,SOUTHERN CO,9850,Tom Fanning,0,Caucasian/White,,0,M,0,1,0,0,0,,,12/1/10,3/31/23,0,Chairman/President/CEO,0,CAUCASIAN/WHITE
61,61,UPS,UNITED PARCEL SERVICE INC,10920,"David Abney, Carol Tome",0,Caucasian/White,,0,F,1,1,1,0,1,6/1/20,incoming,6/1/20,,0,Chairman/CEO,0,CAUCASIAN/WHITE
62,62,WRK,WESTROCK CO,29830,Steve Voorhees,0,Caucasian/White,,0,M,0,1,0,0,0,,,7/1/15,3/15/21,0,President/CEO,0,CAUCASIAN/WHITE
63,63,JKHY,HENRY (JACK) & ASSOCIATES,11811,Dave Foss,0,Caucasian/White,,0,M,0,1,0,0,0,,,7/1/17,7/1/21,0,President/CEO,0,CAUCASIAN/WHITE
64,64,IQV,IQVIA HOLDINGS INC,17928,Ari Bousbib,0,Caucasian/White,,0,M,0,1,0,0,0,,,10/3/16,,0,Chairman/President/CEO,0,CAUCASIAN/WHITE
65,65,DXC,DXC TECHNOLOGY CO,3336,Mike Salvino,0,Caucasian/White,,0,M,0,1,0,0,0,,,9/12/19,7/26/22,0,President/CEO,0,CAUCASIAN/WHITE
66,66,FANG,DIAMONDBACK ENERGY INC,170750,Travis Stice,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/1/17,2/22/22,0,CEO,0,CAUCASIAN/WHITE
67,67,MO,ALTRIA GROUP INC,8543,William F. Gifford Jr.,0,Caucasian/White,,0,M,0,1,0,0,0,4/16/20,incoming,4/16/20,,0,,0,CAUCASIAN/WHITE
68,68,PFG,PRINCIPAL FINANCIAL GRP INC,145701,Dan Houston,0,Caucasian/White,,0,M,0,1,0,0,0,,,5/17/16,,0,Chairman/President/CEO,0,CAUCASIAN/WHITE
69,69,COF,CAPITAL ONE FINANCIAL CORP,30990,Rich Fairbank,0,Caucasian/White,,0,M,0,1,0,0,0,,,4/24/03,,0,Chairman/CEO,0,CAUCASIAN/WHITE
70,70,GD,GENERAL DYNAMICS CORP,5046,Phebe Novakovic,0,Caucasian/White,,0,F,1,1,0,0,0,,,1/1/13,,0,Chairman/CEO,0,CAUCASIAN/WHITE
71,71,HLT,HILTON WORLDWIDE HOLDINGS,5643,Chris Nassetta,0,Caucasian/White,,0,M,0,1,0,0,0,,,12/12/13,,0,President/CEO,0,CAUCASIAN/WHITE
72,72,LDOS,LEIDOS HOLDINGS INC,165123,Roger Krone,0,Caucasian/White,,0,M,0,1,0,0,0,,,3/20/15,5/3/23,0,Chairman/CEO,0,CAUCASIAN/WHITE
73,73,NOC,NORTHROP GRUMMAN CORP,7985,Kathy Warden,0,Caucasian/White,,0,F,1,1,0,0,0,,,8/1/19,,0,Chair/President/CEO,0,CAUCASIAN/WHITE
74,74,VRSN,VERISIGN INC,66368,D. James Bidzos,0,Caucasian/White,,0,M,0,1,0,0,0,,,8/1/11,,0,,0,CAUCASIAN/WHITE
75,75,ZBH,ZIMMER BIOMET HOLDINGS INC,144559,Bryan Hanson,0,Caucasian/White,,0,M,0,1,0,0,0,,,12/19/17,5/14/21,0,President/CEO,0,CAUCASIAN/WHITE
76,76,LEG,LEGGETT & PLATT INC,6649,Karl G. Glassman,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/1/16,12/31/21,0,,0,CAUCASIAN/WHITE
77,77,AES,AES CORP (THE),24216,Doctor Andres Gluski Weilert,0,Hispanic/Latino,,1,M,0,1,0,0,0,,,9/30/11,,0,President/CEO,0,HISPANIC/LATIN AMERICAN
78,78,AVB,AVALONBAY COMMUNITIES INC,29875,Tim Naughton,0,Caucasian/White,,0,M,0,1,0,0,0,,,5/22/13,2/1/21,0,Chairman/President/CEO,0,CAUCASIAN/WHITE
79,79,POOL,POOL CORP,61420,Pete Arvan,0,Caucasian/White,,0,M,0,1,0,0,0,,,7/31/19,,0,President/CEO,0,CAUCASIAN/WHITE
80,80,D,DOMINION ENERGY INC,4029,Tom Farrell II,0,Caucasian/White,,0,M,0,1,0,0,0,,,4/27/07,10/1/20,0,Chairman/President/CEO,0,CAUCASIAN/WHITE
81,81,MPC,MARATHON PETROLEUM CORP,186989,Marvin Haasen,0,Caucasian/White,,0,M,0,1,0,0,0,,,11/1/12,7/17/23,0,President/CEO,0,CAUCASIAN/WHITE
