1+2num,CompanyID,1num,tic,1conm_x,3CompanyName,gvkey,1ceo_minority,1ethnicity (from boardex),1ceo_name,3DirectorName,3FirstName,3LastName,1ceo_race(black),3RoleType,3RoleName,3Seniority,2020_Active_May26_Dec31,3DateStartRole,3DateEndRole,2020_CEO_Change,2020_2CEOs,X3num,X3CompanyID,X3DirectorID
25,25,395,ALK,ALASKA AIR GROUP INC,ALASKA AIR GROUP INC,1230,0,CAUCASIAN/WHITE,NA,Brad Tilden,Brad,Tilden,NA,CEO,Chairman/President/CEO,Executive Director,Yes,1/1/14,3/31/21,,,21,1273,220505
26,26,377,ALL,ALLSTATE CORP,ALLSTATE CORP,28349,0,CAUCASIAN/WHITE,NA,Tom Wilson II,Tom,Wilson II,NA,CEO,Chairman/President/CEO,Executive Director,Yes,2/23/18,,,,22,1534,34944
27,27,430,ALXN,ALEXION PHARMACEUTICALS INC,ALEXION PHARMACEUTICALS INC (De-listed 07/2021),62263,0,CAUCASIAN/WHITE,NA,Doctor Ludwig Hantson,Ludwig,Hantson,NA,CEO,CEO,Executive Director,Yes,3/27/17,7/21/21,,,23,1355,1077323
28,28,348,AMAT,APPLIED MATERIALS INC,APPLIED MATERIALS INC,1704,0,CAUCASIAN/WHITE,NA,Gary Dickerson,Gary,Dickerson,NA,CEO,President/CEO,Executive Director,Yes,9/1/13,,,,24,2382,50901
29,29,349,AMD,ADVANCED MICRO DEVICES,ADVANCED MICRO DEVICES INC (AMD),1161,1,ASIAN (EXCLUDE INDIAN/SOUTH ASIAN),NA,Doctor Lisa Su,Lisa,Su,NA,CEO,President/CEO,Executive Director,Yes,10/8/14,2/14/22,,,25,881,542142
30,30,186,AME,AMETEK INC,AMETEK INC,1598,0,CAUCASIAN/WHITE,NA,David Zapico,David,Zapico,NA,CEO,Chairman/CEO,Executive Director,Yes,7/7/17,,,,26,2058,205055
31,31,197,AMGN,AMGEN INC,AMGEN INC,1602,0,CAUCASIAN/WHITE,NA,Bob Bradway,Bob,Bradway,NA,CEO,Chairman/President/CEO,Executive Director,Yes,1/1/13,,,,27,2068,534543
32,32,304,AMP,AMERIPRISE FINANCIAL INC,AMERIPRISE FINANCIAL INC,164708,0,CAUCASIAN/WHITE,NA,Jim Cracchiolo,Jim,Cracchiolo,NA,CEO,Chairman/CEO,Executive Director,Yes,9/30/05,,,,28,667645,33676
34,34,396,AMZN,AMAZON.COM INC,AMAZON.COM INC,64768,0,CAUCASIAN/WHITE,NA,Jeff Bezos,Jeff,Bezos,NA,CEO,Chairman/President/CEO,Executive Director,Yes,10/1/00,7/5/21,,,29,1703,45136
35,35,350,ANET,ARISTA NETWORKS INC,ARISTA NETWORKS INC,20748,1,INDIAN/SOUTH ASIAN,NA,Jayshree Ullal,Jayshree,Ullal,NA,CEO,President/CEO,Executive Director,Yes,6/6/14,12/1/23,,,30,2073894,765053
