"coid","tic","conm_x","gvkey","ceo_name","2First.x","2Last.x","ceo_ethnicity","ceo_race(black)","ceo_minority","ceo_gender","ceo_female","2020_active","2020_active_may26_dec31","2020_two_ceos","2020_co-ceo","2020_ceo_change","2020_ceo_change_date","2020_in_or_out","ethnicity_boardex","BE_from_bermiss","Actual_Bermiss_discrepancy","RoleType_boardex","RoleName_boardex","Interim_boardex","DateStartRole_boardex","DateEndRole_boardex","2First.y","2Last.y"
312,"ADI","ANALOG DEVICES INC",1632,"Vincent Roche",NA,NA,"Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"5/6/13","3/9/22",NA,NA
90,"ANSS","ANSYS INC",63080,"Doctor Ajei Gopal",NA,NA,"Asian/Indian",0,1,"M",0,1,1,0,0,0,NA,NA,"INDIAN/SOUTH ASIAN",NA,0,"CEO","President/CEO",0,"1/1/17",NA,NA,NA
146,"APA","APA CORP",1678,"John Christmann IV",NA,NA,"Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"1/20/15","1/1/24",NA,NA
346,"AAPL","APPLE INC",1690,"Tim Cook",NA,NA,"Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","CEO",0,"8/24/11",NA,NA,NA
348,"AMAT","APPLIED MATERIALS INC",1704,"Gary Dickerson",NA,NA,"Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"9/1/13",NA,NA,NA
375,"ADM","ARCHER-DANIELS-MIDLAND CO",1722,"Juan Luciano",NA,NA,"Hispanic/Latino",0,1,"M",0,1,1,0,0,0,NA,NA,"HISPANIC/LATIN AMERICAN",NA,0,"CEO","Chairman/President/CEO",0,"1/1/16",NA,NA,NA
350,"ANET","ARISTA NETWORKS INC",20748,"Jayshree Ullal",NA,NA,"Asian/Indian",0,1,"F",1,1,1,0,0,0,NA,NA,"INDIAN/SOUTH ASIAN",NA,0,"CEO","President/CEO",0,"6/6/14","12/1/23",NA,NA
376,"AJG","ARTHUR J GALLAGHER & CO",4973,"Pat Gallagher Jr",NA,NA,"Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/President/CEO",0,"10/19/06","1/1/24",NA,NA
449,"AIZ","ASSURANT INC",157057,"Alan Colberg",NA,NA,"Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"1/1/15","5/18/21",NA,NA
276,"T","AT&T INC",9899,"John Stankey",NA,NA,"Caucasian/White",0,0,"M",0,1,1,0,0,1,"7/1/20","incoming","CAUCASIAN/WHITE",1,1,"CEO","Chairman/CEO",0,"7/1/20",NA,NA,NA
