coid,tic,conm_x,gvkey,ceo_name,ceo_ethnicity,ceo_race(black),ceo_minority,ceo_gender,ceo_female,2020_active,2020_active_may26_dec31,2020_two_ceos,2020_co-ceo,2020_ceo_change,2020_ceo_change_date,2020_in_or_out,ethnicity_boardex,BE_from_bermiss,Actual_Bermiss_discrepancy,RoleType_boardex,RoleName_boardex,Interim_boardex,DateStartRole_boardex,DateEndRole_boardex,,,,,
186,AME,AMETEK INC,1598,David Zapico,Caucasian/White,0,0,M,0,1,1,0,0,0,,,CAUCASIAN/WHITE,,0,CEO,Chairman/CEO,0,7/7/17,,,,,,
197,AMGN,AMGEN INC,1602,Bob Bradway,Caucasian/White,0,0,M,0,1,1,0,0,0,,,CAUCASIAN/WHITE,,0,CEO,Chairman/President/CEO,0,1/1/13,,,,,,
189,APH,AMPHENOL CORP,14282,Richard Norwitt,Caucasian/White,0,0,M,0,1,1,0,0,0,,,CAUCASIAN/WHITE,,0,CEO,President/CEO,0,1/5/09,,,,,,
312,ADI,ANALOG DEVICES INC,1632,Vincent Roche,Caucasian/White,0,0,M,0,1,1,0,0,0,,,CAUCASIAN/WHITE,,0,CEO,President/CEO,0,5/6/13,3/9/22,,,,,
90,ANSS,ANSYS INC,63080,Doctor Ajei Gopal,Asian/Indian,0,1,M,0,1,1,0,0,0,,,INDIAN/SOUTH ASIAN,,0,CEO,President/CEO,0,1/1/17,,,,,,
146,APA,APA CORP,1678,John Christmann IV,Caucasian/White,0,0,M,0,1,1,0,0,0,,,CAUCASIAN/WHITE,,0,CEO,President/CEO,0,1/20/15,1/1/24,,,,,
346,AAPL,APPLE INC,1690,Tim Cook,Caucasian/White,0,0,M,0,1,1,0,0,0,,,CAUCASIAN/WHITE,,0,CEO,CEO,0,8/24/11,,,,,,
348,AMAT,APPLIED MATERIALS INC,1704,Gary Dickerson,Caucasian/White,0,0,M,0,1,1,0,0,0,,,CAUCASIAN/WHITE,,0,CEO,President/CEO,0,9/1/13,,,,,,
375,ADM,ARCHER-DANIELS-MIDLAND CO,1722,Juan Luciano,Hispanic/Latino,0,1,M,0,1,1,0,0,0,,,HISPANIC/LATIN AMERICAN,,0,CEO,Chairman/President/CEO,0,1/1/16,,,,,,
350,ANET,ARISTA NETWORKS INC,20748,Jayshree Ullal,Asian/Indian,0,1,F,1,1,1,0,0,0,,,INDIAN/SOUTH ASIAN,,0,CEO,President/CEO,0,6/6/14,12/1/23,,,,,
376,AJG,ARTHUR J GALLAGHER & CO,4973,Pat Gallagher Jr,Caucasian/White,0,0,M,0,1,1,0,0,0,,,CAUCASIAN/WHITE,,0,CEO,Chairman/President/CEO,0,10/19/06,1/1/24,,,,,
449,AIZ,ASSURANT INC,157057,Alan Colberg,Caucasian/White,0,0,M,0,1,1,0,0,0,,,CAUCASIAN/WHITE,,0,CEO,President/CEO,0,1/1/15,5/18/21,,,,,
276,T,AT&T INC,9899,John Stankey,Caucasian/White,0,0,M,0,1,1,0,0,1,7/1/20,incoming,CAUCASIAN/WHITE,1,1,CEO,Chairman/CEO,0,7/1/20,,,,,,
276,T,AT&T INC,9899,Randall Stephenson Jr,Caucasian/White,0,0,M,0,1,1,0,0,1,6/30/20,outgoing,CAUCASIAN/WHITE,1,1,CEO,Chairman/CEO,0,1/1/07,6/30/20,,,,,
263,ATO,ATMOS ENERGY CORP,4383,John Akers,Caucasian/White,0,0,M,0,1,1,0,0,0,,,CAUCASIAN/WHITE,,0,CEO,President/CEO,0,10/1/19,,,,,,
441,ADSK,AUTODESK INC,1878,Doctor Andrew Anagnost,Caucasian/White,0,0,M,0,1,1,0,0,0,,,CAUCASIAN/WHITE,,0,CEO,President/CEO,0,6/19/17,1/19/21,,,,,
408,ADP,AUTOMATIC DATA PROCESSING,1891,Carlos Rodriguez,Hispanic/Latino,0,1,M,0,1,1,0,0,0,,,HISPANIC/LATIN AMERICAN,,0,CEO,President/CEO,0,11/8/11,1/1/22,,,,,
251,AZO,AUTOZONE INC,23809,Bill Rhodes III,Caucasian/White,0,0,M,0,1,1,0,0,0,,,CAUCASIAN/WHITE,,0,CEO,Chairman/President/CEO,0,6/6/07,1/2/24,,,,,
78,AVB,AVALONBAY COMMUNITIES INC,29875,Tim Naughton,Caucasian/White,0,0,M,0,1,1,0,0,0,,,CAUCASIAN/WHITE,,0,CEO,Chairman/President/CEO,0,5/22/13,2/1/21,,,,,
328,AVY,AVERY DENNISON CORP,1913,Mitch Butier,Caucasian/White,0,0,M,0,1,1,0,0,0,,,CAUCASIAN/WHITE,,0,CEO,Chairman/President/CEO,0,4/25/19,2/28/22,,,,,
147,BKR,BAKER HUGHES CO,32106,Lorenzo Simonelli,Caucasian/White,0,0,M,0,1,1,0,0,0,,,CAUCASIAN/WHITE,,0,CEO,Chairman/President/CEO,0,10/2/17,,,,,,
183,BALL,BALL CORP,1988,John Hayes,Caucasian/White,0,0,M,0,1,1,0,0,0,,,CAUCASIAN/WHITE,,0,CEO,Chairman/President/CEO,0,4/24/13,1/1/21,,,,,
28,BAC,BANK OF AMERICA CORP,7647,Brian Moynihan,Caucasian/White,0,0,M,0,1,1,0,0,0,,,CAUCASIAN/WHITE,,0,CEO,Chair/President/CEO,0,10/1/14,,,,,,
451,BK,BANK OF NEW YORK MELLON CORP,2019,Thomas P. Gibbons,Caucasian/White,0,0,M,0,1,1,0,0,0,,,CAUCASIAN/WHITE,,0,CEO,CEO,0,3/1/20,8/1/22,,,,,
221,BAX,BAXTER INTERNATIONAL INC,2086,Joe Almeida,Hispanic/Latino,0,1,M,0,1,1,0,0,0,,,HISPANIC/LATIN AMERICAN,,0,CEO,Chairman/President/CEO,0,1/1/16,,,,,,
240,WRB,BERKLEY (W R) CORP,14822,W. Robert Berkley Jr.,Caucasian/White,0,0,M,0,1,1,0,0,1,Jan-20,incoming,CAUCASIAN/WHITE,,0,CEO,,0,10/31/15,,,,,,
149,CNP,CENTERPOINT ENERGY INC,5742,Scott M. Prochazka,Caucasian/White,0,0,M,0,1,1,0,0,1,Feb-20,outgoing,CAUCASIAN/WHITE,,0,CEO,,0,1/1/14,2/19/20,,,,,
149,CNP,CENTERPOINT ENERGY INC,5742,John W. Somerhalder II,Caucasian/White,0,0,M,0,1,1,1,0,1,Feb-20,incoming,,,0,CEO,,0,2/19/20,,,,,,
